
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
